Output from Varactor Board,,,
"27-Jul-2021, 12:46:37",,,
Computer CLD-EMMAS-01,,,
,,,
Time,Channel 1,Channel 2,Channel 3
1,0.84147,0.5403,0.45465
1.0001,0.84153,0.5402,0.4546
1.0002,0.8416,0.54011,0.45455
1.0003,0.84166,0.54001,0.4545
1.0005,0.84172,0.53991,0.45446
1.0006,0.84178,0.53982,0.45441
1.0007,0.84185,0.53972,0.45436
1.0008,0.84191,0.53962,0.45431
1.0009,0.84197,0.53952,0.45426
1.001,0.84203,0.53943,0.45421
1.0012,0.8421,0.53933,0.45417
1.0013,0.84216,0.53923,0.45412
1.0014,0.84222,0.53913,0.45407
1.0015,0.84228,0.53904,0.45402
1.0016,0.84234,0.53894,0.45397
1.0017,0.84241,0.53884,0.45392
1.0019,0.84247,0.53874,0.45388
1.002,0.84253,0.53865,0.45383
1.0021,0.84259,0.53855,0.45378
1.0022,0.84266,0.53845,0.45373
1.0023,0.84272,0.53835,0.45368
1.0024,0.84278,0.53826,0.45363
1.0025,0.84284,0.53816,0.45358
1.0027,0.84291,0.53806,0.45354
1.0028,0.84297,0.53796,0.45349
1.0029,0.84303,0.53787,0.45344
1.003,0.84309,0.53777,0.45339
1.0031,0.84315,0.53767,0.45334
1.0032,0.84322,0.53757,0.45329
1.0034,0.84328,0.53748,0.45324
1.0035,0.84334,0.53738,0.45319
1.0036,0.8434,0.53728,0.45314
1.0037,0.84347,0.53718,0.4531
1.0038,0.84353,0.53709,0.45305
1.0039,0.84359,0.53699,0.453
1.004,0.84365,0.53689,0.45295
1.0042,0.84371,0.53679,0.4529
1.0043,0.84378,0.5367,0.45285
1.0044,0.84384,0.5366,0.4528
1.0045,0.8439,0.5365,0.45275
1.0046,0.84396,0.5364,0.4527
1.0047,0.84402,0.53631,0.45265
1.0049,0.84409,0.53621,0.45261
1.005,0.84415,0.53611,0.45256
1.0051,0.84421,0.53601,0.45251
1.0052,0.84427,0.53592,0.45246
1.0053,0.84433,0.53582,0.45241
1.0054,0.8444,0.53572,0.45236
1.0056,0.84446,0.53562,0.45231
1.0057,0.84452,0.53552,0.45226
1.0058,0.84458,0.53543,0.45221
1.0059,0.84464,0.53533,0.45216
1.006,0.84471,0.53523,0.45211
1.0061,0.84477,0.53513,0.45206
1.0062,0.84483,0.53504,0.45201
1.0064,0.84489,0.53494,0.45196
1.0065,0.84495,0.53484,0.45192
1.0066,0.84501,0.53474,0.45187
1.0067,0.84508,0.53465,0.45182
1.0068,0.84514,0.53455,0.45177
1.0069,0.8452,0.53445,0.45172
1.0071,0.84526,0.53435,0.45167
1.0072,0.84532,0.53425,0.45162
1.0073,0.84539,0.53416,0.45157
1.0074,0.84545,0.53406,0.45152
1.0075,0.84551,0.53396,0.45147
1.0076,0.84557,0.53386,0.45142
1.0077,0.84563,0.53377,0.45137
1.0079,0.84569,0.53367,0.45132
